Dificultad,Branch and Bound,Movimientos BB,Operaciones BB,Contador
3,0.0036230087280273438,0,0,78
3,0.0044879913330078125,0,0,79
3,0.003619670867919922,0,0,80
3,0.003715991973876953,0,0,81
3,0.0033910274505615234,0,0,82
3,0.0028700828552246094,0,0,83
3,0.0029020309448242188,0,0,84
3,0.0038442611694335938,0,0,85
3,0.0026521682739257812,0,0,86
3,0.0036880970001220703,0,0,87
3,0.0033562183380126953,0,0,88
3,0.008768796920776367,0,0,89
3,0.0032770633697509766,0,0,90
3,0.0029501914978027344,0,0,91
3,0.0031070709228515625,0,0,92
3,0.0028769969940185547,0,0,93
3,0.0028378963470458984,0,0,94
3,0.002925872802734375,0,0,95
3,0.003412008285522461,0,0,96
3,0.0032961368560791016,0,0,97
3,0.003522157669067383,0,0,98
3,0.003484010696411133,0,0,99
3,0.003257274627685547,0,0,100
